No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/04_menjo/q2.html"",""令和4年免除 問2"")",2026/1/31
2,-,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/02_menjo/q3.html"",""令和2年免除 問3"")",2026/1/31
3,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q1.html"",""令和元年秋期 問1"")",2026/1/31
4,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_aki/q2.html"",""平成29年秋期 問2"")",2026/1/31
5,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q5.html"",""平成30年春期 問5"")",2026/1/31
6,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q8.html"",""令和元年秋期 問8"")",2026/1/31
7,-,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/02_menjo/q4.html"",""令和2年免除 問4"")",2026/1/31
8,-,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/04_menjo/q7.html"",""令和4年免除 問7"")",2026/1/31
9,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/29_aki/q10.html"",""平成29年秋期 問10"")",2026/1/31
10,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/02_menjo/q14.html"",""令和2年免除 問14"")",2026/1/31
11,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q14.html"",""平成30年春期 問14"")",2026/1/31
12,-,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/06_menjo/q12.html"",""令和6年免除 問12"")",2026/1/31
13,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_aki/q16.html"",""平成30年秋期 問16"")",2026/1/31
14,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q18.html"",""平成30年春期 問18"")",2026/1/31
15,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q22.html"",""令和元年秋期 問22"")",2026/1/31
16,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/02_menjo/q21.html"",""令和2年免除 問21"")",2026/1/31
17,○,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/31_haru/q24.html"",""平成31年春期 問24"")",2026/1/31
18,×,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/02_menjo/q24.html"",""令和2年免除 問24"")",2026/1/31
19,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/02_menjo/q26.html"",""令和2年免除 問26"")",2026/1/31
20,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/04_menjo/q27.html"",""令和4年免除 問27"")",2026/1/31
21,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/31_haru/q28.html"",""平成31年春期 問28"")",2026/1/31
22,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q30.html"",""平成30年春期 問30"")",2026/1/31
23,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/31_haru/q31.html"",""平成31年春期 問31"")",2026/1/31
24,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/04_menjo/q31.html"",""令和4年免除 問31"")",2026/1/31
25,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/05_menjo/q25.html"",""令和5年免除 問25"")",2026/1/31
26,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/03_menjo/q43.html"",""令和3年免除 問43"")",2026/1/31
27,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/01_aki/q40.html"",""令和元年秋期 問40"")",2026/1/31
28,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/04_menjo/q38.html"",""令和4年免除 問38"")",2026/1/31
29,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/30_haru/q42.html"",""平成30年春期 問42"")",2026/1/31
30,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/02_menjo/q39.html"",""令和2年免除 問39"")",2026/1/31
